16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
34,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,35
17,78,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,78,15
17,10,41,41,41,41,41,41,3,5,41,41,41,41,41,41,41,41,10,15
17,10,41,41,41,76,41,41,12,39,4,5,67,41,41,76,41,41,10,15
17,10,41,41,41,41,67,41,21,22,22,23,41,41,41,41,41,41,10,15
17,78,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,78,15
17,41,41,10,41,41,41,41,10,41,41,10,68,41,41,41,10,41,41,15
17,41,41,10,41,67,41,41,10,41,41,10,41,41,76,41,10,41,41,15
17,78,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,78,15
17,10,68,77,10,41,41,41,41,16,41,41,41,41,10,41,41,41,10,15
17,10,68,68,10,41,41,6,7,16,7,8,42,67,10,41,41,41,10,15
17,10,77,77,10,41,76,15,16,16,16,17,41,41,10,32,33,32,10,15
17,10,77,77,10,41,41,24,25,25,25,26,41,41,10,32,32,32,10,15
17,10,68,68,10,41,41,41,41,41,41,41,41,41,10,41,68,41,10,15
17,78,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,78,15
17,41,76,10,41,41,41,41,10,41,41,10,41,41,41,41,10,41,76,15
17,41,41,10,41,41,41,41,10,41,41,10,41,41,41,41,10,41,41,15
17,78,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,78,15
17,10,41,41,41,41,10,41,41,41,41,41,41,10,41,41,41,41,10,15
17,10,41,41,41,41,10,10,10,41,41,10,10,10,41,41,33,41,10,15
17,10,41,41,41,41,41,41,10,10,10,10,41,41,41,41,76,41,10,15
17,78,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15
43,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,44
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
